Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;branch-huc2;branch-19ea;branch-b8n7;checkpoint-if5t;checkpoint-ezzj;checkpoint-lxys;checkpoint-n8ox;checkpoint-h7in;checkpoint-prqz;checkpoint-l38h;checkpoint-oafw;branch-x43a;randomiser-b8xo;checkpoint-zp1s;checkpoint-zmw5;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;ANSWER;Pie chart;Social advice;blue button;correct;incorrect;timeout;Color advice;yellow button;Unnamed: 0;Unnamed: 0.1;block;number;__EMPTY;key
522;1662512479185;07/09/2022 01:01:19;1662512479016;-5;06/09/2022 20:01:19;74063;32;task-j2h4;;24003424;bnrhmsdo;7077797;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.2;Chrome 104.0.0.0;1440x900;1440x900;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;81;74;6;ProgBarUpdate;Zone6;timelimit_screen;33.42199999996228;;;;;0;1;0;;;1;;6;B1True;blue buttonYB.png;4555YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;blue buttonYB.png;yellow buttonYB.png;80;80;Block 3;62;80;8
523;1662512479185;07/09/2022 01:01:19;1662512479021;-5;06/09/2022 20:01:19;74063;32;task-j2h4;;24003424;bnrhmsdo;7077797;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.2;Chrome 104.0.0.0;1440x900;1440x900;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;;;TaskScore;;;;;;;;;124;0;1;0;;;;;;;;;;;;;;;;;;;;;
524;1662512480537;07/09/2022 01:01:20;1662512480474;-5;06/09/2022 20:01:20;74063;32;task-j2h4;;24003424;bnrhmsdo;7077797;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.2;Chrome 104.0.0.0;1440x900;1440x900;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;81;74;7;Outcome;Zone6;timelimit_screen;1504.359999999986;;;;;0;1;0;;;1;;6;B1True;blue buttonYB.png;4555YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;blue buttonYB.png;yellow buttonYB.png;80;80;Block 3;62;80;8
525;1662512480998;07/09/2022 01:01:20;1662512480924;-5;06/09/2022 20:01:20;74063;32;task-j2h4;;24003424;bnrhmsdo;7077797;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.2;Chrome 104.0.0.0;1440x900;1440x900;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;85;75;1;Fixation;fixation;fixation;451.1970000000438;;;;;0;1;0;;;;;6;B1True;yellow buttonYB.png;4555YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;84;84;Block 3;66;84;8
526;1662512482160;07/09/2022 01:01:22;1662512482098;-5;06/09/2022 20:01:22;74063;32;task-j2h4;;24003424;bnrhmsdo;7077797;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.2;Chrome 104.0.0.0;1440x900;1440x900;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;85;75;2;Start;ButtonYellow;response_button_image;1124;;;yellow buttonYB.png;1;1;0;0;;;;;6;B1True;yellow buttonYB.png;4555YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;84;84;Block 3;66;84;8
527;1662512483175;07/09/2022 01:01:23;1662512483097;-5;06/09/2022 20:01:23;74063;32;task-j2h4;;24003424;bnrhmsdo;7077797;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.2;Chrome 104.0.0.0;1440x900;1440x900;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;85;75;3;Correct;Zone6;timelimit_screen;1002.6600000000326;;;;;0;1;0;;;1;;6;B1True;yellow buttonYB.png;4555YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;84;84;Block 3;66;84;8
528;1662512483351;07/09/2022 01:01:23;1662512483178;-5;06/09/2022 20:01:23;74063;32;task-j2h4;;24003424;bnrhmsdo;7077797;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.2;Chrome 104.0.0.0;1440x900;1440x900;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;85;75;6;ProgBarUpdate;Zone6;timelimit_screen;33.42199999996228;;;;;0;1;0;;;1;;6;B1True;yellow buttonYB.png;4555YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;84;84;Block 3;66;84;8
529;1662512483351;07/09/2022 01:01:23;1662512483191;-5;06/09/2022 20:01:23;74063;32;task-j2h4;;24003424;bnrhmsdo;7077797;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.2;Chrome 104.0.0.0;1440x900;1440x900;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;;;TaskScore;;;;;;;;;125;0;1;0;;;;;;;;;;;;;;;;;;;;;
530;1662512484703;07/09/2022 01:01:24;1662512484635;-5;06/09/2022 20:01:24;74063;32;task-j2h4;;24003424;bnrhmsdo;7077797;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.2;Chrome 104.0.0.0;1440x900;1440x900;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;85;75;7;Outcome;Zone6;timelimit_screen;1503.990000000049;;;;;0;1;0;;;1;;6;B1True;yellow buttonYB.png;4555YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;84;84;Block 3;66;84;8
531;1662512485939;07/09/2022 01:01:25;1662512485873;-5;06/09/2022 20:01:25;74063;32;task-j2h4;;24003424;bnrhmsdo;7077797;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.2;Chrome 104.0.0.0;1440x900;1440x900;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;95;5;1;Quality Q;buttonA;response_button_text;1227.1999999955297;;;Useful and Correct;1;0;1;0;;;;;;Feedback;;;;;;;;;;94;94;Feedback;;94;8
