Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;branch-huc2;branch-19ea;branch-b8n7;checkpoint-if5t;checkpoint-ezzj;checkpoint-lxys;checkpoint-n8ox;checkpoint-h7in;checkpoint-prqz;checkpoint-l38h;checkpoint-oafw;branch-x43a;randomiser-b8xo;checkpoint-zp1s;checkpoint-zmw5;Randomise questionnaire elements?;Understanding;Reading_Information;Inclusion_Criteria;Withdraw_Keep_Info;Understand_dataprotection;understand_GDPR;Understanding_Not_Identifiable;Use_data_future_research;END QUESTIONNAIRE
1;1706388658430;27/01/2024 20:50:58;1706388658266;0;27/01/2024 20:50:58;74063;40;questionnaire-vlry;;34546113;1c33y8tm;10214110;;rejected - time limit reached;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 16.3;1440x900;1199x820;CEQ__cannabis_user_done;;;Consent;4;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;5958
1;1706668614205;31/01/2024 02:36:54;1706668614163;0;31/01/2024 02:36:54;74063;40;questionnaire-vlry;;34630184;kban5t5f;10239775;;rejected - time limit reached;;;computer;Desktop or Laptop;Windows 10;Chrome 120.0.0.0;1280x720;1280x559;CEQ__cannabis_user_done;;;Consent;4;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;30095
1;1708123565197;16/02/2024 22:46:05;1708123565081;0;16/02/2024 22:46:05;74063;40;questionnaire-vlry;;35242330;fhbeqaye;10411857;;complete;;;mobile;undefined K;Android 10;Chrome 121.0.0.0;360x880;360x741;Space Task Done;;;Consent;4;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;No;1;1;1;1;1;1;1;1;7172
1;1708340655680;19/02/2024 11:04:15;1708340655821;0;19/02/2024 11:04:15;74063;40;questionnaire-vlry;;35285996;6sqjv39j;10423944;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 122.0.0.0;1280x720;1280x593;Social_Task_Done;;;Consent;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;14625
1;1708523691906;21/02/2024 13:54:51;1708523691879;0;21/02/2024 13:54:51;74063;40;questionnaire-vlry;;35387473;u77zoptd;10452790;;rejected - time limit reached;;;computer;Desktop or Laptop;Windows 10;Chrome 121.0.0.0;1920x1080;1920x953;Social Task Done;;;Consent;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;;Social Task Done;No;1;1;1;1;1;1;1;1;7572
1;1713453883259;18/04/2024 15:24:43;1713453883187;1;18/04/2024 16:24:43;74063;40;questionnaire-vlry;;37123646;lwbdlukx;10945910;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 112.0;1920x1080;984x897;Social_Task_Done;;;Consent;4;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;15121
1;1715781121424;15/05/2024 13:52:01;1715781121293;1;15/05/2024 14:52:01;74063;40;questionnaire-vlry;;37668635;whydyydf;11099761;;rejected - time limit reached;;;computer;Desktop or Laptop;Windows 10;Edge 124.0.0.0;1600x900;1552x752;CEQ_done_no_cannabis;;;Consent;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;8802
1;1719837845023;01/07/2024 12:44:05;1719837844964;1;01/07/2024 13:44:04;74063;40;questionnaire-vlry;;38648039;emou8167;11342918;;rejected - time limit reached;;;mobile;Apple iPhone;iOS 17.5.1;Mobile Safari 17.5;430x932;430x743;CEQ_done_no_cannabis;;;Consent;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;9761
1;1719857914979;01/07/2024 18:18:34;1719857914825;1;01/07/2024 19:18:34;74063;40;questionnaire-vlry;;38661375;ymjnztzs;11350706;;rejected - time limit reached;;;mobile;Apple iPhone;iOS 16.0.1;Mobile Safari 16.0;390x844;390x664;CEQ_done_no_cannabis;;;Consent;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;8077
1;1719857920776;01/07/2024 18:18:40;1719857920636;1;01/07/2024 19:18:40;74063;40;questionnaire-vlry;;38661376;85usfydw;11350707;;rejected - time limit reached;;;mobile;Apple iPhone;iOS 16.3;Mobile Safari 16.3;390x844;390x663;CEQ_done_no_cannabis;;;Consent;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;18208
